name,link_in_site,web_rank,brand_rank,mobile_rank,funding_rank,readers_rank
Flipkart,https://profiles.yourstory.com/organization/flipkart.com,1,1,1,1,6
SnapDeal,https://profiles.yourstory.com/organization/snapdeal.com,2,3,5,2,15
Paytm,https://profiles.yourstory.com/organization/paytm.com,3,9,3,3,1
hike,https://profiles.yourstory.com/organization/hike.in,65,24,2,5,21
BookMyShow,https://profiles.yourstory.com/organization/bookmyshow.com,4,6,10,14,4
Quikr,https://profiles.yourstory.com/organization/quikr.com,7,12,8,9,20
Shopclues,https://profiles.yourstory.com/organization/shopclues.com,5,11,12,13,36
Ola,https://profiles.yourstory.com/organization/olacabs.com,34,23,7,4,5
Zomato,https://profiles.yourstory.com/organization/zomato.com,6,5,13,23,11
MobiKwik,https://profiles.yourstory.com/organization/mobikwik.com,16,18,9,10,13
DailyHunt,https://profiles.yourstory.com/organization/dailyhunt.in,32,45,6,27,24
Bigbasket.com,https://profiles.yourstory.com/organization/bigbasket.com,19,51,27,6,8
Octro,https://profiles.yourstory.com/organization/octro.com,79,77,4,77,46
OYO,https://profiles.yourstory.com/organization/oyorooms.com,29,37,29,7,10
Byju's,https://profiles.yourstory.com/organization/byjus.com,45,25,21,8,9
Lenskart,https://profiles.yourstory.com/organization/lenskart.com,25,16,30,11,19
YUPPTV,https://profiles.yourstory.com/organization/yupptv.com,23,30,22,25,43
Voonik,https://profiles.yourstory.com/organization/voonik.com,26,26,14,39,41
Crowdfire,https://profiles.yourstory.com/organization/crowdfireapp.com,15,4,16,79,40
TVF Play,https://profiles.yourstory.com/organization/tvfplay.com,11,2,39,61,2
CarDekho,https://profiles.yourstory.com/organization/cardekho.com,18,21,25,32,35
Grofers,https://profiles.yourstory.com/organization/grofers.com,40,55,33,18,23
Pepperfry.com,https://profiles.yourstory.com/organization/pepperfry.com,21,33,51,15,25
Droom,https://profiles.yourstory.com/organization/droom.in,60,10,43,21,45
Craftsvilla,https://profiles.yourstory.com/organization/craftsvilla.com,35,8,36,44,36
Cleartrip,https://profiles.yourstory.com/organization/cleartrip.com,12,20,19,81,28
CCAvenues,https://profiles.yourstory.com/organization/ccavenue.com,8,77,67,16,25
Practo,https://profiles.yourstory.com/organization/practo.com,30,38,38,26,22
LimeRoad,https://profiles.yourstory.com/organization/limeroad.com,27,17,26,52,38
InShorts,https://profiles.yourstory.com/organization/inshorts.com,61,22,15,62,7
Swiggy,https://profiles.yourstory.com/organization/swiggy.com,20,56,40,27,7
Freshdesk,https://profiles.yourstory.com/organization/freshdesk.com,14,57,63,24,24
Moonfrog Labs,https://profiles.yourstory.com/organization/moonfroglabs.com,77,72,11,69,45
ixigo,https://profiles.yourstory.com/organization/ixigo.com,28,19,18,82,35
Urban Ladder,https://profiles.yourstory.com/organization/urbanladder.com,37,34,47,29,34
NestAway,https://profiles.yourstory.com/organization/nestaway.com,53,43,56,17,21
Yepme,https://profiles.yourstory.com/organization/yepme.com,42,7,67,32,44
PlaySimple,https://profiles.yourstory.com/organization/playsimple.in,79,32,17,73,46
1mg,https://profiles.yourstory.com/organization/1mg.com,33,76,32,47,33
Nykaa,https://profiles.yourstory.com/organization/nykaa.com,24,15,50,49,34
Faaso's,https://profiles.yourstory.com/organization/faasos.com,62,49,31,45,22
Zoomcar,https://profiles.yourstory.com/organization/zoomcar.com,51,46,45,37,14
CarTrade,https://profiles.yourstory.com/organization/cartrade.com,31,73,67,19,40
RailYatri,https://profiles.yourstory.com/organization/railyatri.in,25,71,26,75,39
Rivigo,https://profiles.yourstory.com/organization/rivigo.com,74,77,67,12,41
Bank Bazaar,https://profiles.yourstory.com/organization/bankbazaar.com,17,31,67,40,43
OnlineTyari,https://profiles.yourstory.com/organization/onlinetyari.com,39,59,23,78,16
ScoopWhoop,https://profiles.yourstory.com/organization/scoopwhoop.com,13,13,57,76,17
Healthkart,https://profiles.yourstory.com/organization/healthkart.com,36,29,49,59,40
Ecom Express,https://profiles.yourstory.com/organization/ecomexpress.in,59,77,67,20,44
Simplilearn,https://profiles.yourstory.com/organization/simplilearn.com,49,47,63,33,37
JUGNOO,https://profiles.yourstory.com/organization/jugnoo.in,70,74,35,50,29
InCred Finance,https://profiles.yourstory.com/organization/incred.com,79,77,67,15,46
Tapzo (formerly Helpchat),https://profiles.yourstory.com/organization/tapzo.com,79,77,24,66,35
Zivame,https://profiles.yourstory.com/organization/zivame.com,43,35,54,51,40
MySmartPrice,https://profiles.yourstory.com/organization/mysmartprice.com,9,36,67,73,30
Druva,https://profiles.yourstory.com/organization/druva.com,73,65,67,22,44
Hopscotch,https://profiles.yourstory.com/organization/hopscotch.in,59,27,51,48,43
Roposo,https://profiles.yourstory.com/organization/roposo.com,66,50,43,54,19
Delhivery,https://profiles.yourstory.com/organization/delhivery.com,50,70,67,28,20
Bobble App,https://profiles.yourstory.com/organization/bobbleapp.me,79,51,20,82,41
UrbanClap,https://profiles.yourstory.com/organization/urbanclap.com,59,53,48,53,18
Stayzilla,https://profiles.yourstory.com/organization/stayzilla.com,55,39,61,43,38
Lybrate,https://profiles.yourstory.com/organization/lybrate.com,58,60,37,72,42
Testbook.com,https://profiles.yourstory.com/organization/testbook.com,22,48,44,80,41
Furlenco,https://profiles.yourstory.com/organization/furlenco.com,67,61,64,34,26
Lendingkart,https://profiles.yourstory.com/organization/lendingkart.com,66,64,67,30,41
Purplle,https://profiles.yourstory.com/organization/purplle.com,46,43,52,65,31
ShareChat,https://profiles.yourstory.com/organization/sharechat.co,79,69,34,70,44
Netmeds.com,https://profiles.yourstory.com/organization/netmeds.com,47,44,67,45,39
PolicyBazaar,https://profiles.yourstory.com/organization/policybazaar.com,41,61,67,45,27
Toppr,https://profiles.yourstory.com/organization/toppr.com,52,76,42,71,45
Knowlarity,https://profiles.yourstory.com/organization/knowlarity.com,60,62,65,41,37
Helpshift,https://profiles.yourstory.com/organization/helpshift.com,56,70,67,38,45
Stalkbuylove,https://profiles.yourstory.com/organization/stalkbuylove.com,44,26,60,67,41
