name,twitter_username,founded_in,website,category,investors
Flipkart,flipkart,2007,http://flipkart.com,Ecommerce,"Accel,Tiger Global Management,Steadview Capital,DST Global,Sofina,Naspers,Greenoaks Capital,Iconiq Capital,Baillie Gifford,Morgan Stanley Alternative Investment Partners,T. Rowe Price,Qatar Investment Authority,GIC,Vulcan Inc."
SnapDeal,snapdeal,2010,http://snapdeal.com,Ecommerce,"Ratan Tata,Intel Capital,Kalaari Capital,Nexus Venture Partners,Bessemer Venture Partners,Saama Capital,ru-Net,SoftBank Capital,SoftBank Corp,eBay,Foxconn Technology Group,Alibaba Group,BlackRock,Ontario Teachers' Pension Plan"
Paytm,paytm,2010,http://paytm.com,FinTech,"Ratan Tata,MediaTek,ANT Financial,Alibaba Group"
hike,hikeapp,2012,http://hike.in,Mobile App,"Ruchi Sanghvi,Aditya Agarwal,Adam D’Angelo,Matt Mullenweg,Bharti Softbank (BSB),Tiger Global Management,SoftBank Corp,Tencent"
BookMyShow,bookmyshow,2007,http://bookmyshow.com,Ecommerce,"Network 18,Accel,SAIF Partners,stripesgroup.com"
Quikr,Quikr,2008,http://quikr.com,Ecommerce,"Tiger Global Management,Matrix Partners,Norwest Venture Partners - NVP,Omidyar Network,Nokia Growth Partners,Steadview Capital,Warburg Pincus,Investment AB Kinnevik,Falcon Capital,eBay,Brand Capital,Coatue Management"
Shopclues,ShopClues,2011,http://shopclues.com,Ecommerce,"Tiger Global Management,Helion Venture Partners,Nexus Venture Partners,Beenos Partners,GIC Special Investments"
Ola,olacabs,2011,http://olacabs.com,Transportation,"Ratan Tata,Anupam Mittal,Rehan yar Khan,Vanguard Group,Sequoia Capital,Accel,Tiger Global Management,Matrix Partners,Unknown,Steadview Capital,SoftBank Capital,DST Global,SoftBank Corp,Falcon Capital,Baillie Gifford"
Zomato,zomato,2008,http://zomato.com,Foodtech,"Infoedge India Ltd.,Sequoia Capital,Temasek Holdings,Vy Capital"
MobiKwik,mobikwik,2009,http://mobikwik.com,FinTech,"Net1 UEPS Technologies Inc,MediaTek,GMO,American Express,Sequoia Capital,InnoVen Capital,Tree Line Asia,Cisco Investments"
DailyHunt,dailyhuntapp,2009,http://dailyhunt.in,Media,"Bytedance,Sequoia Capital,Matrix Partners,Omidyar Network,Falcon Capital"
Bigbasket.com,Bigbasket_com,2011,http://bigbasket.com,Ecommerce,"Ascent Capital,Growth Story,Helion Venture Partners,Bessemer Venture Partners,Unknown,Zodius Capital,ICICI Venture,Abraaj Group"
Octro,not_applicable,2011,http://octro.com,Gaming,Sequoia Capital
OYO,oyorooms,2013,http://oyorooms.com,Travel & Tourism,"Sequoia Capital,Lightspeed Venture Partners,SoftBank Capital,SoftBank Corp,Greenoaks Capital"
Byju's,byjusclasses,2011,http://byjus.com,EdTech,"Chan Zuckerberg Initiative,Times Internet Ltd,Sequoia Capital,Lightspeed Venture Partners,International Finance Corporation,Sofina"
Lenskart,Lenskart_com,2010,http://lenskart.com,Ecommerce,"Ratan Tata,Kris Gopalakrishnan,Accel,IDG Ventures India,Unilazer Ventures,Aarin Capital,International Finance Corporation,KITVEN Fund,PremjiInvest,TPG Growth,TR Capital,Adveq"
YUPPTV,yupptv,2006,http://yupptv.com,Media,"Emerald Media,SRI Capital"
Voonik,voonik,2013,http://voonik.com,Ecommerce,"Kunal Shah,Times Internet Ltd,Sequoia Capital,SeedFund,Beenos Partners,BEENEXT,InnoVen Capital"
Crowdfire,crowdfire,2010,http://crowdfireapp.com,SaaS,Kalaari Capital
TVF Play,TheViralFever,2016,http://tvfplay.com,Media,Tiger Global Management
CarDekho,cardekho,2008,http://cardekho.com,Automotive,"Ratan Tata,HDFC Bank,Sequoia Capital,CapitalG,Hillhouse Capital Group,Tybourne Capital"
Grofers,GROFERS,2013,http://grofers.com,Ecommerce,"Sequoia Capital,Tiger Global Management,SoftBank Capital"
Pepperfry.com,pepperfry,2012,http://pepperfry.com,Ecommerce,"Norwest Venture Partners - NVP,Zodius Capital,Goldman Sachs,Bertelsmann India Investments"
Droom,letsdroom,2014,http://droom.in,Ecommerce,"Beenos Partners,Lightbox Ventures,BEENEXT,Digital Garage"
Craftsvilla,craftsvilla,2011,http://craftsvilla.com,Ecommerce,"Sequoia Capital,Nexus Venture Partners,Lightspeed Venture Partners,Global Founders Capital"
Cleartrip,Cleartrip,2006,http://cleartrip.com,Travel & Tourism,"Ashok Vittal,Deepak Shahdadpuri,Concur Technologies,DAG Ventures,Sherpalo Ventures,Kleiner Perkins Caufield & Byers"
CCAvenues,not_applicable,2010,http://ccavenue.com,FinTech,Infibeam
Practo,Practo,2008,http://practo.com,HealthTech,"Yuri Milner,Thrive Capital,Sequoia Capital,Matrix Partners,ru-Net,CapitalG,Sofina,Tencent,Altimeter Capital"
LimeRoad,limeroadcom,2012,http://limeroad.com,Ecommerce,"Tiger Global Management,Matrix Partners,Lightspeed Venture Partners"
InShorts,inshorts,2013,http://inshorts.com,Media,"Binny Bansal,Sachin Bansal,Manish Dhingra,Ankush Nijhawan,Gaurav Bhatnagar,Times Internet Ltd,Tiger Global Management,Rebright Partners"
Swiggy,swiggy_in,2014,http://swiggy.com,Foodtech,"Accel,SAIF Partners,Norwest Venture Partners - NVP,Bessemer Venture Partners,DST Global,RB Investments,Harmony Partners"
Freshdesk,freshdesk,2010,http://freshdesk.com,SaaS,"Sequoia Capital,Accel,Tiger Global Management,CapitalG"
Moonfrog Labs,MoonfrogLabs,2013,http://moonfroglabs.com,Gaming,"Sequoia Capital,Tiger Global Management"
ixigo,ixigo,2007,http://ixigo.com,Travel & Tourism,"Micromax,SAIF Partners"
Urban Ladder,urbanladder,2012,http://urbanladder.com,Ecommerce,"Ratan Tata,Anand Rajaraman,Venky Harinarayan,Sequoia Capital,Kalaari Capital,SAIF Partners,Steadview Capital,TR Capital,Trifecta Capital"
NestAway,NestawayIndia,2015,http://nestaway.com,Travel & Tourism,"Ratan Tata,Naveen Tewari,Yuri Milner,Sujeet Kumar,Flipkart,Tiger Global Management,IDG Ventures India"
Yepme,yepmedotcom,2011,http://yepme.com,Ecommerce,"Helion Venture Partners,Unknown,SoftBank Corp,Capricorn Investment Group,Khazanah Nasional Berhad,JS Capital"
PlaySimple,not_applicable,2014,http://playsimple.in,Gaming,"IDG Ventures India,SAIF Partners"
1mg,1mgofficial,2013,http://1mg.com,HealthTech,"Deep Kalra,HBM Healthcare,Intel Capital,Sequoia Capital,Kae Capital,Omidyar Network,Maverick Capital"
Nykaa,MyNykaa,2012,http://nykaa.com,Ecommerce,"Sunil Munjal,Harsh Mariwala,Atul Nishar,Max Ventures and Industries Ltd"
Faaso's,faasos,2011,http://faasos.com,Food Tech,"Anand Lunia,Sequoia Capital,ru-Net,Lightbox Ventures"
Zoomcar,ZoomCarIndia,2013,http://zoomcar.com,Transportation,"Barbara Judge,T.V. Mohandas Pai,Abhay Jain,Funders Club,Our Crowd,Sequoia Capital,Nokia Growth Partners,Empire Angels,Basset Investment Group,Ford Motor Company"
CarTrade,Car_Trade,2010,http://cartrade.com,Automotive,"Tiger Global Management,Canaan Partners,Warburg Pincus,Temasek Holdings,Epiphany Ventures,March Capital Partners"
RailYatri,railyatri,2013,http://railyatri.in,Travel & Tourism,"Nandan Nilekani,Nanadan Nilekani,Blume Venture,Helion Venture Partners,Omidyar Network"
